339;N;C;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;C;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
339;N;A;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;B;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;B;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;C;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
342;N;A;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;B;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;B;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;C;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
